ID,Sand/%,Silt/%,Clay/%
1,30.4,50.5,19.1
2,63.2,23.1,13.7
3,36.8,46.4,16.8
4,28.1,61.5,10.4
5,50.7,38.2,11.1
6,35.5,48.7,15.8
7,44.3,34.4,21.3
8,45.9,36.8,17.3
9,25.8,52.5,21.7
10,33.2,48.4,18.4
11,23.3,58,18.7
12,35.7,25.7,38.6
13,36,37.1,26.9
14,26.9,51,22.1
15,37.2,40.1,22.7
16,38.7,42.4,18.9
17,26.3,58.3,15.4
18,28.1,58.4,13.5
19,20.3,59.6,20.1
20,37.1,45.9,17
21,43.8,42.1,14.1
22,42.7,42.2,15.1
23,37.7,46.2,16.1
24,35.3,52.9,11.8
25,35.9,47.8,16.3
26,38.5,42,19.5
27,33.2,45.1,21.7
28,47.4,37.4,15.2
29,33.1,50.4,16.5
30,23.8,42.3,33.9
31,41,42.3,16.7
32,32.2,53.7,14.1
33,36.4,48.4,15.2
34,34.7,54.2,11.1
35,28,56.5,15.5
36,23.3,53.7,23
37,31.8,48.6,19.6
38,39,55,6
39,55.9,25.3,18.8
40,36.9,52.1,11
41,33.2,51.1,15.7
42,41,43.3,15.7
43,34.9,52,13.1
44,58.8,31.8,9.4
45,41.6,42.4,16
46,48.6,30.1,21.3
47,47.6,41.2,11.2
48,51.8,36.1,12.1
49,34.1,53.8,12.1
50,42.3,48.7,9
51,51.8,35.8,12.4
52,31.2,53.4,15.4
53,35.8,47.8,16.4
54,24.4,52.7,22.9
55,20.2,50.2,29.6
56,44,41.7,14.3
57,32.2,53.5,14.3
58,36.5,35.2,28.3
59,42.8,43.2,14
60,36.4,36.6,27
61,46.6,41.8,11.6
62,55.4,40,4.6
63,44.3,38.5,17.2
64,32.8,48.9,18.3
65,36.6,49.8,13.6
66,39.5,46.1,14.4
67,37.5,50.3,12.2
68,29.9,59.8,10.3
69,32.7,55.7,11.6
70,51.25,36.8,11.95
71,33.5,56.4,10.1
72,38,40.9,21.1
73,37,50.4,12.6
74,35.8,36.5,27.7
75,40.9,31.6,27.5
76,29.1,44,26.9
77,28.2,38.8,33
78,22.9,51.4,25.7
79,40.7,43.4,15.9
80,29.6,49.9,20.5
81,37.2,44.7,18.1
82,40.2,41.1,18.7
83,53.3,33.3,13.4
84,27.7,38.5,33.8
85,27.6,54.8,17.6
86,36.5,53.1,10.4
87,22.7,58.2,19.1
88,31.3,56.8,11.9
89,21.2,38.3,40.5
90,33.2,51.5,15.3
91,31.1,57.2,11.7
92,22.3,59.1,18.6
93,48.5,39.1,12.4
94,31,50.2,18.8
95,28.2,49.9,21.9
96,40.2,41.9,17.9
97,45.4,39.1,15.5
98,39,44.1,16.9
99,43.3,40.8,15.9
100,36.7,40.9,22.4
101,39.1,41,19.9
102,35,49.9,15.1
103,35.2,47.5,17.3
104,45.2,37.9,16.9
105,50.4,31.8,17.8
106,43.9,42.8,13.3
107,29.5,54.1,16.4
108,41.4,44.6,14
109,28.5,56,15.5
110,27.8,53,19.2
111,35.1,49.1,15.8
112,28.4,56.2,15.4
113,28.1,49.6,22.3
114,22.4,52.1,25.5
115,34.6,47.5,17.9
116,22.7,54.5,22.8
117,47.9,42.8,9.3
118,41.7,42.4,15.9
119,48.1,42.9,9
120,39.7,34.9,25.4
121,35,44.8,20.2
122,41.5,41.6,16.9
123,35.1,45.2,19.7
124,27.4,57,15.6
125,31,53.5,15.5
126,19.9,61.5,18.6
127,38.2,40.8,21
128,37.2,45.3,17.5
129,24,35.6,40.4
130,30.6,49.7,19.7
131,31.4,54.4,14.2
132,45,34.3,20.7
133,55.2,37.5,7.3
134,48.9,33.6,17.5
135,32.6,42.3,25.1
136,41.9,40.3,17.8
137,22.4,38.3,39.3
138,32.3,54,13.7
139,32.4,44.6,23
140,36.8,49.3,13.9
141,30.1,39.7,30.2
142,32.9,44.7,22.4
143,37.3,58.7,4
144,41.8,48.7,9.5
145,42.2,46.4,11.4
146,50.5,33.2,16.3
147,39.6,32.9,27.5
148,46.5,42.8,10.7
149,34,38.4,27.6
150,49.2,37.7,13.1
151,42.4,46.9,10.7
152,48.6,31.8,19.6
153,51,34.9,14.1
154,53.5,41.9,4.6
155,41.9,38.4,19.7
156,38.4,54.3,7.3
157,41,41.5,17.5
158,39.6,45.1,15.3
159,26,45.9,28.1
160,45,36.1,18.9
161,36.7,40.1,23.2
162,36.7,36.4,26.9
163,46.1,19.4,34.5
164,30.4,46.2,23.4
165,48.6,34.2,17.2
166,27.8,49.8,22.4
167,47.8,32.8,19.4
168,33.5,42.7,23.8
169,41,41.2,17.8
170,46.9,40.8,12.3
171,33.6,38.4,28
172,41.4,39,19.6
173,45.6,37.1,17.3
174,38.8,38.4,22.8
175,36.9,39.1,24
176,31.4,46.8,21.8
177,28.8,33.7,37.5
178,45.6,45.3,9.1
179,44.2,34.3,21.5
180,29.7,43.8,26.5
181,28.7,49.8,21.5
182,37.4,46.2,16.4
183,42.3,35.9,21.8
184,33.6,46.8,19.6
185,40.3,44.5,15.2
186,24.6,55,20.4
187,38,43.4,18.6
188,43.4,44.9,11.7
189,38,54,8
190,38.7,44,17.3
191,37.2,35.8,27
192,45.4,38.8,15.8
193,42.5,39.8,17.7
194,35.8,38.1,26.1
195,33.5,38,28.5
196,54.7,24.6,20.7
197,31.4,49.9,18.7
198,38.5,46.6,14.9
199,47.7,36.1,16.2
200,30.5,41.2,28.3
201,41,34.8,24.2
202,29.7,42.7,27.6
203,33.2,50,16.8
204,39.3,45.3,15.4
205,37.7,49.1,13.2
206,22.3,55.8,21.9
207,37,47.8,15.2
208,39.2,36.6,24.2
209,42.3,36.3,21.4
210,34.7,54,11.3
211,35.7,39.1,25.2
212,33.5,63.3,3.2
